profile,authority,authority_vocab,used_in_profile,controlled_field_ct,controlled_fields
core_10-2-0,chronology,chronology/era,y,9,"Chronology: Associated event/era
NAGPRA Inventory: Time period era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000013d580ff0>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000013d582d50>)
Object: Production era
Person: Associated event/era
Place: Associated event/era
Repatriation Request: Time period era
Summary Documentation: Time period era"
core_10-2-0,chronology,chronology/event,y,5,"Chronology: Associated event/era
Object: Associated controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000013d580ff0>)
Object: Content controlled event or period/era (#<CspaceConfigUntangler::Message:0x000000013d582d50>)
Person: Associated event/era
Place: Associated event/era"
core_10-2-0,citation,citation/local,y,30,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x000000013b30c230>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x000000013a8e5248>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x0000000128468df8>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x000000013c8877b8>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000013bb6adc8>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012a200b40>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x000000013818dcb8>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x000000014ec6ad78>)"
core_10-2-0,citation,citation/worldcat,y,30,"Chronology: Alternative date citation
Chronology: Associated concept citation
Chronology: Associated event/era citation
Chronology: Associated organization citation
Chronology: Associated people citation
Chronology: Associated person citation
Chronology: Associated place citation
Chronology: Resource identifier citation
Chronology: Term source name (#<CspaceConfigUntangler::Message:0x000000013b30c230>)
Citation: Term source name (#<CspaceConfigUntangler::Message:0x000000013a8e5248>)
Concept: Term source name (#<CspaceConfigUntangler::Message:0x0000000128468df8>)
Exhibition: Bibliographic reference
Object: Reference
Organization: Term source name (#<CspaceConfigUntangler::Message:0x000000013c8877b8>)
Person: Associated concept citation
Person: Associated event/era citation
Person: Associated organization citation
Person: Associated people citation
Person: Associated person citation
Person: Associated place citation
Person: Term source name (#<CspaceConfigUntangler::Message:0x000000013bb6adc8>)
Place: Associated concept citation
Place: Associated event/era citation
Place: Associated organization citation
Place: Associated people citation
Place: Associated person citation
Place: Associated place citation
Place: Term source name (#<CspaceConfigUntangler::Message:0x000000012a200b40>)
Storage Location: Term source name (#<CspaceConfigUntangler::Message:0x000000013818dcb8>)
Work: Term source name (#<CspaceConfigUntangler::Message:0x000000014ec6ad78>)"
core_10-2-0,concept,concept/activity,y,4,"Chronology: Associated concept
Citation: Related term
Person: Associated concept
Place: Associated concept"
core_10-2-0,concept,concept/archculture,y,3,"NAGPRA Inventory: Cultural group name
Repatriation Request: Cultural group name
Summary Documentation: Cultural group name"
core_10-2-0,concept,concept/associated,y,9,"Chronology: Associated concept
Chronology: Associated people
Citation: Related term
Object: Associated concept (#<CspaceConfigUntangler::Message:0x000000013d580ff0>)
Object: Content concept (#<CspaceConfigUntangler::Message:0x000000013d582d50>)
Person: Associated concept
Person: Associated people
Place: Associated concept
Place: Associated people"
core_10-2-0,concept,concept/ethculture,y,4,"Intake: Field collection source
NAGPRA Inventory: Cultural group name
Repatriation Request: Cultural group name
Summary Documentation: Cultural group name"
core_10-2-0,concept,concept/material,y,6,"Chronology: Associated concept
Citation: Related term
Object: Content concept (#<CspaceConfigUntangler::Message:0x000000013d582d50>)
Object: Material controlled
Person: Associated concept
Place: Associated concept"
core_10-2-0,concept,concept/nomenclature,y,4,"Chronology: Associated concept
Object: Object name controlled
Person: Associated concept
Place: Associated concept"
core_10-2-0,concept,concept/occasion,y,4,"Chronology: Associated concept
Person: Associated concept
Place: Associated concept
Use of Collections: Occasion"
